metroscuadradostotales,precio,titulo,latitud,longitud,preciomt2
400,375500,"Venta de  Casa Laguna Del Sol, 3 dormitorios,  Samborondon",-2.130760908126831,-79.90673828125,938.75
337,150000,En Venta Casa en Cdla. La Alborada Décima Etapa,-2.134000062942505,-79.90899658203125,445.10385756676556
95,108000,"Venta de Suit amoblada Kennedy Point, planta baja",-2.1989998817443848,-79.90799713134766,1136.842105263158
60,65000,Suite Kennedy Amoblada,-2.172635316848755,-79.90055084228516,1083.3333333333333
132,138000,"Casa en Venta Urb. El Condado Vicolinci, Guayaquil",-2.0480000972747803,-79.90499877929688,1045.4545454545455
170,105000,Venta Departamento Urdesa Norte,-2.165,-79.91,617.6470588235294
142,100000,Vendo Casa Villa Club Etapa Floral,-2.174929618835449,-79.90115356445312,704.2253521126761
84,42000,"Venta de casa en Urb. Portón de la Beata, Vía a Daule, cerca de la Cervecería y la Terminal Terrestre de Pascuales",-2.061000108718872,-79.95500183105469,500.0
158,155000,"Venta / Renta, alquiler Departamento / Edificio San Francisco 300 / Centro de Guayaquil / Zona Bancaria",-2.191999912261963,-79.88099670410156,981.0126582278481
48,55000,Vendo Bonita Villa,-2.1710000038146973,-79.9219970703125,1145.8333333333333
120,76000,Casa de 2 plantas Samanes 1,-2.115000009536743,-79.90299987792969,633.3333333333334
195,115000,VENDO CASA EN LA ALBORADA 10MA ETAPA,-2.134000062942505,-79.90899658203125,589.7435897435897
140,98000,"Propiedad en venta en Metrópolis 2, terminal Pascuales, etapa 2A totalmente ampliada y remodelada.",-2.065000057220459,-79.91400146484375,700.0
168,90000,"Venta Departamento Centro Guayaquil, Los Rios y Hurtado, Cerca de Universidades",-2.188999891281128,-79.89399719238281,535.7142857142857
105,65000,Vende Casa Las Orquídeas,-2.0959999561309814,-79.91100311279297,619.047619047619
95,85000,Venta de Casa de dos Plantas en Mucho Lote 2,-2.065000057220459,-79.89299774169922,894.7368421052631
322,90000,venta de casa Francisco Segura entre la 44 y 45 Suroeste cerca de la estación de la linea 7 Guayaquil,-2.121000051498413,-79.88800048828125,279.5031055900621
110,49500,Venta/departamento/Chiriboga y Boyaca/centro/Guayaquil,-2.121000051498413,-79.88800048828125,450.0
300,250000,Se Vende Casa en Bosques De la Costa 300 m2,-2.181999921798706,-79.97000122070312,833.3333333333334
175,98000,"Venta casa-2plantas,  bifam.""Las Orquideas""",-2.063999891281128,-79.91500091552734,560.0
300,116000,"CIUDADELA COVIEM VENDO BONITA CASA 4 DORMITORIOS, PATIO, GARAJES, BASES 2DO PISO",-2.236999988555908,-79.90299987792969,386.6666666666667
210,115000,"Enventa Casa en Las Orquideas, Guayaquil",-2.1320769786834717,-79.8958740234375,547.6190476190476
750,300000,Casa de venta en Vía a Samborondon - Cdla. La Gloria – código:15258,-2.161486,-79.917257,400.0
135,95000,Venta de Casa Samanes 7 - C. Herrera - A. Maidana,-2.11299991607666,-79.90899658203125,703.7037037037037
250,136000,Se Vende Casa en Urb. Saint Gallen  140 m² · 3 Habitaciones · 1 Estacionamiento,-2.1410000324249268,-79.91000366210938,544.0
211,200000,"Vendo, casa duplex de dos pisos en urbanización en los Ceibos al norte de Guayaquil",-2.1670000553131104,-79.94499969482422,947.8672985781991
300,258000,Vendo casa en urbanizaciòn El Condado de Vicolinci,-2.0480000972747803,-79.90499877929688,860.0
82,89000,"Venta De Casa Sauces 3 Cerca de Puente Vía a Samborondón, Norte De Guayaquil",-2.127000093460083,-79.88999938964844,1085.3658536585365
216,195000,Venta Casa esquinera en Urb. Belo Horizonte (Vía a la Costa,-2.187000036239624,-79.98100280761719,902.7777777777778
15,25000,Vendo Casa,-2.091,-79.955,1666.6666666666667
1371,500000,Casa de venta en CENTRO SUR - LIZARDO GARCÍA – código:16323,-2.161486,-79.917257,364.69730123997084
91,62707,"Venta de Casa en Villa Bonita, Via a Daule km 16, cerca de la Cervecería Nacional.",-2.052999973297119,-79.98699951171875,689.0879120879121
80,90000,En Venta Departamento en Cdla. La Garzota,-2.1459999084472656,-79.89399719238281,1125.0
150,210000,Venta  departamento al rio,-2.1018524169921875,-79.86404418945312,1400.0
200,170000,"Venta de  casa en Porto Vita, Via la Costa",-2.1579999923706055,-79.90799713134766,850.0
72,45000,Vendo Villa en Mucho Lote 1,-2.190999984741211,-79.93399810791016,625.0
300,300000,"Vendo, casa de dos pisos mas terraza en conjunto cerrado en Bellavista",-2.177999973297119,-79.91400146484375,1000.0
72,105000,Amplio y hermoso Departamento Suite Planta de terraza. Kennedy Norte Atras del Mac DonalsSan Marino,-2.177000045776367,-79.89600372314453,1458.3333333333333
48,35000,"Vendo, suite en el centro de Guayaquil cerca a la zona financiera y comercial de la ciudad",-2.1989998817443848,-79.93000030517578,729.1666666666666
200,146500,Oportunidad Santa Maria Casa Grande,-2.138768196105957,-79.59405517578125,732.5
355,79000,Barrio del Seguro vendo edificio rentero 3 plantas con multiples areas para uso comercial y de vivienda,-2.2179999351501465,-79.89600372314453,222.53521126760563
200,75000,"Venta Casa 2 plantas, Guayacanes bifamiliar, medianera",-2.134000062942505,-79.87100219726562,375.0
250,155000,"Casa en Venta en Castilla, Samborondon cerca del Mall Samborondon",-2.244999885559082,-79.8949966430664,620.0
166,81000,Vendo Dpto Ed. San Sebastian Excelente Ubicacion - R. Hurtado - J. Moncada,-2.2160000801086426,-79.88899993896484,487.95180722891564
450,350000,Casa Rentera / Edificio Gomez Rendon y la 14,-2.244999885559082,-79.8949966430664,777.7777777777778
186,120000,"Casa en Venta en Matices, Samborondon, frente al Dorado",-2.2660000324249268,-79.8740005493164,645.1612903225806
207,67000,Casa Esquinera Oportunidad Florida Norte,-2.18935489654541,-79.88920593261719,323.67149758454104
560,200000,Vendo Casa Rentera Sector Comercial,-2.1710000038146973,-79.9219970703125,357.14285714285717
275,229000,Venta de Casa en Garzota Norte de Guayaquil,-2.1459999084472656,-79.89199829101562,832.7272727272727
150,110000,"Departamento de Venta Kennedy Norte Cerca del Parque Lineal, cerca del SRI",-2.1570000648498535,-79.9010009765625,733.3333333333334
80,90000,"Venta de Departamento en la Urb. Puerto Azul, Vía a la Costa, cerca de Laguna Plaza.",-2.191999912261963,-79.96700286865234,1125.0
